id,produce_type,name,method,drying_temperature_C,typical_drying_time_min
1,Vegetable,Potato,Microwave,58.0,14
2,Vegetable,Mint Leaves,Hot-Air,57.0,146
3,Vegetable,Green Peas,Vacuum,43.4,451
4,Vegetable,Beetroot,Sun,52.0,986
5,Vegetable,Green Peas,Freeze-Drying,-8.6,689
6,Vegetable,Spinach,Solar,58.7,501
7,Vegetable,Beetroot,Vacuum,49.1,680
8,Fruit,Jackfruit,Hot-Air,57.2,530
9,Vegetable,Garlic,Freeze-Drying,-3.1,1245
10,Vegetable,Cucumber,Vacuum,47.4,751
11,Fruit,Sapota,Vacuum,65.6,697
12,Fruit,Apricot,Hot-Air,65.5,553
13,Fruit,Papaya,Freeze-Drying,17.4,1597
14,Fruit,Papaya,Hot-Air,56.8,320
15,Fruit,Dragon Fruit,Microwave,61.6,53
16,Vegetable,Ginger,Sun,50.8,972
17,Vegetable,Mushroom,Solar,47.2,993
18,Fruit,Banana,Freeze-Drying,-19.9,1613
19,Fruit,Pomegranate,Freeze-Drying,-23.7,1590
20,Fruit,Pineapple,Vacuum,47.8,672
21,Vegetable,Spinach,Microwave,55.8,42
22,Fruit,Sapota,Hot-Air,87.7,444
23,Vegetable,Onion,Vacuum,32.5,563
24,Fruit,Apple,Microwave,76.9,78
25,Vegetable,Mint Leaves,Freeze-Drying,4.5,659
26,Fruit,Blueberry,Microwave,51.0,81
27,Vegetable,Mushroom,Sun,46.0,767
28,Fruit,Apricot,Sun,47.9,1295
29,Vegetable,Radish,Solar,57.3,1122
30,Vegetable,Coriander Leaves,Microwave,66.1,28
31,Fruit,Jackfruit,Hot-Air,78.8,319
32,Vegetable,Mint Leaves,Hot-Air,65.9,442
33,Vegetable,Ginger,Microwave,63.0,27
34,Vegetable,Tomato,Hot-Air,62.5,498
35,Fruit,Custard Apple,Freeze-Drying,-8.4,1478
36,Fruit,Mango,Solar,50.6,1009
37,Fruit,Pineapple,Hot-Air,65.0,399
38,Fruit,Strawberry,Vacuum,43.6,478
39,Fruit,Strawberry,Solar,61.6,750
40,Vegetable,Coriander Leaves,Sun,53.9,1117
41,Vegetable,Tomato,Solar,43.0,716
42,Vegetable,Green Peas,Sun,38.5,1150
43,Vegetable,Mint Leaves,Solar,58.6,975
44,Vegetable,Pumpkin,Sun,36.4,1452
45,Fruit,Kiwi,Hot-Air,59.8,234
46,Fruit,Pineapple,Vacuum,55.4,706
47,Vegetable,Ginger,Sun,47.3,969
48,Fruit,Pear,Freeze-Drying,19.9,1246
49,Vegetable,Bitter Gourd,Hot-Air,80.6,218
50,Fruit,Papaya,Microwave,79.3,17
51,Fruit,Plum,Vacuum,40.6,379
52,Fruit,Plum,Hot-Air,43.5,271
53,Vegetable,Okra,Vacuum,62.8,529
54,Vegetable,Pumpkin,Sun,44.6,905
55,Vegetable,Ginger,Freeze-Drying,-17.3,1924
56,Vegetable,Bitter Gourd,Vacuum,52.9,454
57,Fruit,Fig,Vacuum,53.0,481
58,Vegetable,Carrot,Solar,38.7,918
59,Fruit,Dragon Fruit,Solar,49.3,523
60,Vegetable,Mint Leaves,Solar,44.8,858
61,Fruit,Strawberry,Vacuum,64.6,674
62,Fruit,Lychee,Hot-Air,75.3,581
63,Fruit,Peach,Freeze-Drying,-12.9,728
64,Fruit,Cherry,Solar,64.9,846
65,Vegetable,Garlic,Sun,42.4,768
66,Vegetable,Okra,Vacuum,36.6,743
67,Fruit,Cherry,Microwave,76.0,69
68,Vegetable,Coriander Leaves,Sun,32.6,1227
69,Fruit,Blueberry,Solar,50.6,549
70,Fruit,Plum,Microwave,73.9,67
71,Vegetable,Ginger,Microwave,72.9,65
72,Fruit,Pineapple,Microwave,54.0,37
73,Fruit,Banana,Solar,62.3,555
74,Vegetable,Tomato,Sun,40.3,929
75,Fruit,Banana,Solar,56.9,926
76,Fruit,Papaya,Hot-Air,45.6,463
77,Fruit,Peach,Solar,50.5,850
78,Fruit,Fig,Solar,47.4,1002
79,Fruit,Apricot,Microwave,66.8,59
80,Vegetable,Drumstick,Sun,37.2,1087
81,Fruit,Grapes,Solar,38.7,841
82,Fruit,Mango,Microwave,65.6,46
83,Vegetable,Pumpkin,Sun,32.6,1449
84,Fruit,Grapes,Vacuum,56.6,284
85,Fruit,Guava,Microwave,55.4,26
86,Fruit,Pineapple,Sun,34.1,1413
87,Vegetable,Carrot,Sun,33.7,1068
88,Vegetable,Broccoli,Freeze-Drying,-11.7,715
89,Vegetable,Bitter Gourd,Freeze-Drying,-33.7,1968
90,Vegetable,Bitter Gourd,Solar,59.5,720
91,Fruit,Peach,Freeze-Drying,-30.0,1982
92,Vegetable,Green Peas,Freeze-Drying,-12.0,1068
93,Fruit,Banana,Vacuum,32.6,455
94,Vegetable,Spinach,Vacuum,61.7,756
95,Vegetable,Beetroot,Vacuum,44.7,333
96,Fruit,Banana,Vacuum,41.6,520
97,Fruit,Mango,Hot-Air,65.3,121
98,Fruit,Apple,Microwave,71.6,88
99,Vegetable,Onion,Freeze-Drying,1.7,1693
100,Vegetable,Cucumber,Freeze-Drying,-35.1,1020
101,Fruit,Apricot,Microwave,58.5,80
102,Fruit,Papaya,Microwave,50.8,13
103,Fruit,Pomegranate,Freeze-Drying,-28.7,994
104,Vegetable,Onion,Solar,65.0,1099
105,Vegetable,Onion,Sun,39.0,860
106,Vegetable,Okra,Microwave,52.8,43
107,Fruit,Lemon,Sun,46.7,723
108,Fruit,Peach,Hot-Air,80.0,446
109,Fruit,Sapota,Hot-Air,62.0,240
110,Vegetable,Onion,Vacuum,34.0,651
111,Fruit,Pear,Freeze-Drying,-27.4,870
112,Vegetable,Beetroot,Solar,42.2,484
113,Fruit,Pineapple,Sun,34.4,873
114,Vegetable,Pumpkin,Hot-Air,43.2,132
115,Vegetable,Ginger,Microwave,58.0,16
116,Fruit,Lemon,Freeze-Drying,-26.8,1235
117,Vegetable,Mint Leaves,Freeze-Drying,-16.3,646
118,Fruit,Cherry,Hot-Air,84.0,222
119,Vegetable,Drumstick,Sun,40.6,1486
120,Fruit,Pineapple,Solar,55.0,1043
121,Vegetable,Potato,Microwave,67.3,34
122,Vegetable,Bell Pepper,Microwave,71.3,56
